OrderID,OrderDate,PropertyID,ProductID,Quantity,City,Product,Price
1,01-01-2015,17,41,1,Las Vegas,Office Chair,85
2,01-01-2015,15,54,2,Chicago,Chest of Drawers,150
3,01-01-2015,5,71,2,Kansas City,Hammer,17
4,01-01-2015,19,3,2,Los Angeles,Washcloth,3
5,01-01-2015,12,45,3,Dallas,Computer Desk,102
6,01-01-2015,6,94,2,Orlando,Monitor,70
7,01-01-2015,5,35,2,Kansas City,Tissue Box,25
8,02-01-2015,16,93,1,Denver,Terminal,85
9,02-01-2015,4,93,3,Seattle,Terminal,85
10,02-01-2015,2,61,2,Cincinnati,Tape Measure,8
11,02-01-2015,2,24,1,Cincinnati,Envelopes (Letter),24
12,02-01-2015,8,23,1,Philadelphia,Printer Toner,85
13,02-01-2015,12,24,2,Dallas,Envelopes (Letter),24
14,03-01-2015,4,94,3,Seattle,Monitor,70
15,03-01-2015,16,20,2,Denver,Pens,30
16,03-01-2015,2,94,3,Cincinnati,Monitor,70
17,03-01-2015,19,84,1,Los Angeles,Tall Chair,75
18,03-01-2015,9,89,2,Richmond,Photograph,45
19,03-01-2015,20,21,3,San Francisco,Printer Paper,50
20,03-01-2015,1,6,1,New York,Conditioner,40
21,03-01-2015,8,57,3,Philadelphia,Wireless Router,70
22,03-01-2015,4,70,2,Seattle,Door Lock,117
23,04-01-2015,17,24,1,Las Vegas,Envelopes (Letter),24
24,04-01-2015,14,23,2,Nashville,Printer Toner,85
25,04-01-2015,12,52,1,Dallas,Ironing Board,18
26,04-01-2015,17,84,2,Las Vegas,Tall Chair,75
27,04-01-2015,10,74,1,Arlington,Large Plant,35
28,05-01-2015,10,33,3,Arlington,Towel Rack,10
29,05-01-2015,5,73,2,Kansas City,Mop,15
30,05-01-2015,2,5,1,Cincinnati,Moisturizer,40
31,05-01-2015,11,79,2,Atlanta,Coffee Table,103
32,06-01-2015,20,44,1,San Francisco,Floor Lamp,55
33,06-01-2015,9,64,1,Richmond,Gaffer's Tape,27
34,06-01-2015,18,10,2,Phoenix,Toilet Paper,19
35,06-01-2015,1,87,1,New York,End Table,30
36,06-01-2015,2,37,2,Cincinnati,Bed (King),300
37,06-01-2015,3,23,3,Portland,Printer Toner,85
38,06-01-2015,8,37,3,Philadelphia,Bed (King),300
39,06-01-2015,10,30,3,Arlington,Permanent Markers,6
40,06-01-2015,19,83,2,Los Angeles,Bar Stool,60
41,07-01-2015,13,19,2,New Orleans,Light Bulb,17
42,07-01-2015,10,27,2,Arlington,Invisible Tape,8
43,07-01-2015,5,87,3,Kansas City,End Table,30
44,07-01-2015,1,19,2,New York,Light Bulb,17
45,07-01-2015,9,23,2,Richmond,Printer Toner,85
46,08-01-2015,6,28,2,Orlando,Staples,8
47,08-01-2015,14,47,3,Nashville,Swivel Chair,75
48,08-01-2015,18,58,1,Phoenix,Mirror,85
49,08-01-2015,15,13,3,Chicago,Bed Sheet (Double),20
50,08-01-2015,19,91,2,Los Angeles,Small Sign,14
51,08-01-2015,5,67,2,Kansas City,Adjustable Wrench,10
52,08-01-2015,10,25,3,Arlington,Envelopes (Legal),28
53,09-01-2015,8,51,3,Philadelphia,Painting,85
54,09-01-2015,5,24,2,Kansas City,Envelopes (Letter),24
55,09-01-2015,14,8,3,Nashville,Bath Soap,35
56,10-01-2015,16,70,3,Denver,Door Lock,117
57,10-01-2015,19,41,2,Los Angeles,Office Chair,85
58,10-01-2015,19,42,1,Los Angeles,Reading Chair,70
59,10-01-2015,13,93,2,New Orleans,Terminal,85
60,10-01-2015,13,42,2,New Orleans,Reading Chair,70
61,10-01-2015,1,18,3,New York,Coffee Cup,24
62,10-01-2015,2,59,1,Cincinnati,Screws,14
63,10-01-2015,7,19,2,Boston,Light Bulb,17
64,11-01-2015,1,73,2,New York,Mop,15
65,11-01-2015,6,83,1,Orlando,Bar Stool,60
66,11-01-2015,3,74,1,Portland,Large Plant,35
67,11-01-2015,5,70,2,Kansas City,Door Lock,117
68,11-01-2015,6,84,3,Orlando,Tall Chair,75
69,11-01-2015,2,48,2,Cincinnati,Side Table,40
70,11-01-2015,14,65,1,Nashville,Ladder,89
71,12-01-2015,19,30,1,Los Angeles,Permanent Markers,6
72,12-01-2015,10,36,1,Arlington,Armoire,115
73,12-01-2015,11,25,3,Atlanta,Envelopes (Legal),28
74,12-01-2015,17,16,3,Las Vegas,Mouthwash,40
75,12-01-2015,3,27,2,Portland,Invisible Tape,8
76,12-01-2015,2,44,1,Cincinnati,Floor Lamp,55
77,13-01-2015,18,44,3,Phoenix,Floor Lamp,55
78,13-01-2015,14,72,1,Nashville,Nails,12
